District ,Zn %,Fe%,Cu %,Mn %,B %,S %
Pali,35.77,32.7,98.15,98.92,,92.68
Pratapgarh,75.46,63.71,91.04,94.14,,95.37
Rajsamand,41.53,18.03,89.69,89.65,,99.94
Sawai Madhopur,41.22,67.34,97.75,95.24,,88.64
Sikar,60.16,45.93,94.22,90.71,,99.09
Sirohi,4.18,1.64,97.26,94.79,,84.67
Tonk,66.03,56.71,97.95,93.99,,96.4
Udaipur,61.23,78.35,98.44,99.11,0,89.49
Gangtok,31.51,98.99,73.09,98.87,29.21,99.19
Gyalshing,54.41,3.49,96.17,7.01,26.96,0.17
Mangan,73.02,22.22,99.21,3.97,6.35,1.59
Namchi,81.58,98.3,92.9,99.43,62.87,98.02
Ariyalur,95.15,75.73,99.55,88.3,86.15,55.34
Coimbatore,72.71,56.06,98.09,68.17,46.6,50.96
Cuddalore,96.69,99.36,99.87,97.82,12.74,20.96
Dharmapuri,88.13,13.49,94.89,90.48,45.38,50.26
Dindigul,79.92,49.69,95.2,65.22,19,54.36
Erode,74.77,45.71,97.72,55.37,18.08,17.35
Kanchipuram,70.66,67.52,99.52,94.93,11.26,98.96
Kanniyakumari,80.52,92.82,97.01,87.85,27.63,77.25
Karur,87.22,22.25,99.88,81.82,87.28,31.53
Krishnagiri,98.43,98.24,99.72,98.89,87.35,96.14
Madurai,68.45,70.98,97.89,81.01,19.57,79.74
Nagapattinam,70.48,95.76,89.95,62.3,48.31,89.76
Namakkal,46.2,49.77,92.6,67.69,5.7,55.22
Perambalur,42,2.51,99.1,69.55,6.54,13.99
Pudukkottai,58.83,59.57,95.71,96.52,65.88,60.43
Ramanathapuram,28.48,76.54,94.35,90.41,14.38,89.09
Salem,81.74,97.86,99.69,94.17,65.56,58.75
Sivaganga,32.34,72.55,68.22,91.59,33.65,56.24
Thanjavur,98.9,93,99.9,86.9,99.74,38.51
The Nilgiris,62.4,67.38,90.73,65.23,34.91,44.96
Theni,33.96,28.28,97.02,49.28,78.35,63.16
Thiruvallur,62.94,59.6,90.96,10.85,48.4,65.17
Thiruvarur,57.87,99.09,99.83,89.15,80.76,96.11
Tiruchirappalli,94.56,72.01,99.8,93.39,0.46,99.99
Tirunelveli,61.16,86.4,98.38,98.45,58.43,89.4
Tiruppur,89.43,74.75,99.51,65.3,80.83,87.95
Tiruvannamalai,45.72,80.39,96.2,8.97,41.24,68.87
Tuticorin,47.33,30.78,93.44,87.7,59.3,78.83
Vellore,68.68,20.77,96.72,38.38,39.62,68.44
Villupuram,71.24,38.26,99.32,92.89,14.43,43.35
Virudhunagar,23.35,32.7,83.04,85.94,56.03,75.5
Adilabad,73.33,74.63,82.7,77.48,79,80.41
BHADRADRI KOTHAGUDEM,37.05,24.54,85.53,50.05,74.51,69.24
HANUMAKONDA,33.18,57.13,92.47,83.62,71.28,91.46
Hyderabad,0,0,0,0,0,0
Jagitial,57.04,59.09,89.39,79.27,59.3,64.26
JANGOAN,31.36,41.6,60.85,57.39,43.01,69.07
JAYASHANKAR BHUPALAPALLY,21.51,41.63,93.11,89.05,77.77,92.75
JOGULAMBA GADWAL,56.89,40.57,74.89,45.42,74.5,57.41
KAMAREDDY,58.81,48.48,87.65,63.11,82.58,71.75
Karimnagar,72.96,53,96.75,79.88,70.97,69.32
Khammam,37.79,24.67,82.2,57.16,72.34,83.16
KUMURAM BHEEM ASIFABAD,73.21,79.11,97.03,91.66,85.19,93.95
MAHABUBABAD,44.39,51.95,89.63,85.13,81.47,89.07
Mahbubnagar,73.95,63.37,94.86,83.08,82.65,85.89
MANCHERIAL,56,76.72,92.31,94.19,79.92,86.97
Medak,45,71.49,93.72,97.56,97.6,98.65
MEDCHAL MALKAJGIRI,63.64,26.75,91.6,52,96.87,74.36
Mulugu,27.53,49.94,92.8,88.76,74.1,96.45
NAGARKURNOOL,70.66,59.57,81.64,69.89,72.84,83.13
Nalgonda,70.91,60.17,97.09,81.04,67.61,84.4
NARAYANAPET,76.15,68.56,92.91,82.95,82.77,88.94
Nirmal,78.46,73.8,94.22,84.26,86.39,87.6
Nizamabad,64.49,52.31,95.62,65.61,89.71,75.14
PEDDAPALLI,70.6,57.93,97.36,81.41,77.74,70.69
RAJANNA SIRCILLA,74.41,66.91,94.52,89.92,74.89,83.66
Rangareddi,77.02,49.29,88.12,73.72,76.72,57.05
SANGAREDDY,81.6,75.51,99.11,91.85,95.92,95.7
SIDDIPET,43.12,57.85,95.88,88.17,85.84,89.99
SURYAPET,75.69,55.17,97.6,80.97,75.88,88.43
VIKARABAD,53.83,54.61,84.07,77.06,80.46,78.02
WANAPARTHY,49.11,52.91,86.53,91.13,63.46,64.37
Warangal,58.49,64.64,96.1,91.59,73.12,94.98
YADADRI BHUVANAGIRI,58.18,49.33,94.98,69.95,69.37,76.22
Dadra And Nagar Haveli,93.4,98.88,99.95,100,100,100
Daman,97.24,97.7,100,99.54,0,99.54
Diu,46.67,10.67,67.57,56.34,37.33,82.67
Dhalai,78.27,97.53,99.08,97.46,78.85,93.7
Gomati,72.99,99.68,98.66,99.74,79.82,92.54
Khowai,78.06,99.22,99.64,97.95,85.18,98.87
North Tripura,72.95,99.46,98.63,98.53,70.43,92.71
Sepahijala,85.28,98.71,99.7,98.47,88.18,96.29
South Tripura,82.56,99.07,96.8,96.72,80.82,97.48
Unakoti,78.7,99.64,95.73,99.41,84.11,99.37
West Tripura,84.03,97.09,98.7,97.45,81.97,90.97
Agra,69.19,51.98,91.49,80.82,80.27,83.88
Aligarh,66.72,70.57,98.22,89.27,57.9,78.7
Allahabad,96.7,96.49,99.52,96.81,97.16,77.8
Ambedkar Nagar,76.45,49.66,92.94,59.99,55.89,59.19
Amethi,51.3,22.33,97.56,31.09,70.08,36.35
Amroha,72.01,73.7,90.06,82.13,59.69,57.33
Auraiya,90.01,64.8,93.49,95.55,61.48,48.99
Ayodhya,57.91,4.17,70.56,35.32,56.78,75.64
Azamgarh,36,56.23,99.26,96.99,37.29,5.6
Baghpat,67.76,57.52,94.73,73.72,88.09,76.97
Bahraich,70.67,77.48,96.98,80.08,65.34,46.17
Ballia,86.73,85.14,99.78,95.95,95.7,27.05
Balrampur,97.02,94,98.63,97.76,54.41,84.91
Banda,64.24,27.19,88.12,44.08,45.89,71.36
Barabanki,55.48,54.13,85.11,79.67,29.38,45.94
Bareilly,49.02,57.65,93.77,53.71,46,60.33
Basti,5.01,94.13,99.88,87.94,38.03,26.44
BHADOHI,65.4,76.12,94.5,96.62,95.35,59.57
Bijnor,79.96,64.97,93.86,86.79,64.43,65.72
Budaun,51.64,57.93,88.56,56.93,49.34,47.34
Bulandshahr,59.41,54.6,95.86,65.01,89.74,82.46
Chandauli,21.67,64.7,93.3,89.52,78.24,23.99
Chitrakoot,67.42,11.32,91.08,69.69,35.08,90.61
Deoria,58.94,79.83,98.62,89.44,78.29,60.24
Etah,78.94,77.3,98.6,95.92,73.44,91.23
Etawah,89.95,98.18,99.03,99.58,35.46,96.8
Farrukhabad,57.18,70.43,89.7,88.75,43.74,41.93
Fatehpur,91.98,97.68,98.1,97.66,94.29,97.76
Firozabad,40.82,81.62,82.17,94.89,79.08,69.84
Gautam Buddha Nagar,84.85,68.56,96.89,87.86,82.32,86.94
Ghaziabad,78.64,79.5,96.57,93.11,39.98,83.98
Ghazipur,27.43,63.08,98.85,89.48,43.85,22.53
Gonda,93.55,81.11,98.32,82.78,31.68,64.87
Gorakhpur,60.28,74,98.93,87.4,70.72,66.73
Hamirpur,66.38,67.04,94.59,79.97,3.08,73.13
Hapur,52.51,65.15,96.17,83.79,68.67,63.04
Hardoi,97.91,97.24,89.4,99.24,95.94,61.24
Hathras,75.91,51.21,95.36,90.43,70,88.76
Jalaun,77.67,75.09,99.18,91.31,89.15,75.84
Jaunpur,62.81,72.25,97.19,93.33,14.89,15.34
Jhansi,86.45,77.07,98.5,90.78,86.83,85.81
Kannauj,79.27,75.05,97.45,97.36,67.64,62.19
Kanpur Dehat,81.95,78.3,98.48,99.3,86.19,39.97
Kanpur Nagar,75.78,98.78,99.35,83.55,87.37,80.01
Kasganj,88.63,84.92,99.72,94.13,58.8,89.68
Kaushambi,70.33,85.63,94.62,90.26,82.52,89.54
Kheri,99.52,94.95,99.77,94.67,93.13,72.01
Kushi Nagar,72.17,73.45,98.18,85.11,71.36,57.94
Lalitpur,68.78,94.58,99.09,90.12,96.72,47.78
Lucknow,94.44,97.53,99.81,98.8,63.52,90.08
Maharajganj,67.11,94.09,95.42,97.67,62.74,78.21
Mahoba,34.98,10.29,70.66,47.68,21.93,72.08
Mainpuri,64.64,60.78,85.73,87.58,77.15,89.38
Mathura,63.72,47.12,92.39,87.82,98.06,65.55
Mau,85.82,81.15,99.77,86.42,91.53,1.1
Meerut,75.15,74.1,98.81,87.52,86.52,78.47
Mirzapur,81.62,82.99,99.52,98.12,4.96,98.85
Moradabad,79.4,75.88,95.16,83.48,59.86,64.86
Muzaffarnagar,75.31,94.04,99.73,92.96,94.28,58.05
Pilibhit,44.38,81.54,98.32,76.97,68.63,50.82
Pratapgarh,92.23,88.9,99.64,92.51,82.02,90.54
Rae Bareli,95.77,94.34,99.64,88.57,99.75,8.57
Rampur,74.4,68.39,92.82,73.96,53.34,70.62
Saharanpur,74.5,85.58,99.09,70.28,86.05,64.47
Sambhal,74.88,66.89,94.77,61.99,43.73,65.66
Sant Kabeer Nagar,6.33,82.01,99.88,86.98,33.24,22.87
Shahjahanpur,55.22,57.88,96.56,55.5,50.23,53.42
Shamli,82.12,86.38,99.84,87.67,93,72.63
Shravasti,90.08,50.14,98.58,87.59,68.18,81.96
Siddharth Nagar,12.05,81.56,99.7,65.39,27.38,15.78
Sitapur,85.04,90.44,98.29,85.69,88.08,84.12
Sonbhadra,79.57,93.7,99.98,99.42,17.56,99.41
Sultanpur,91.88,74.31,94.52,88.47,29.78,67.77
Unnao,95.81,91.8,99.51,95.58,95.5,97.54
Varanasi,47.66,81.62,98.81,88.37,45.84,32.82
Almora,97.83,92.94,72.42,96.45,88.71,96.15
Bageshwar,97.15,98.95,99.49,97.34,95.83,87.87
Chamoli,91.27,91.89,96.74,68.22,66.05,92.15
Champawat,94.31,95,95.04,96.27,84.74,74.11
Dehradun,94.74,97.35,96.85,89.46,75.23,81.31
Haridwar,69.09,77.4,89.02,82.81,30.5,61.36
Nainital,86.87,61.06,76.62,58.01,98.51,93.24
Pauri Garhwal,87.5,85.84,87.34,85.26,85.07,91.55
Pithoragarh,86.34,95.78,95.75,92.68,50.69,79.32
Rudra Prayag,89.96,81.21,97.7,68.18,69.07,93.96
Tehri Garhwal,88.33,89.76,94.81,87.5,75,54.3
Udam Singh Nagar,77.31,84.46,90.15,79.85,28.54,76.53
Uttar Kashi,94.9,95.06,96.75,87.52,63.44,39.82
24 Paraganas North,90.91,100,100,90.91,90.91,100
Birbhum,93.95,100,98.63,97.06,78.52,22.07
KALIMPONG,100,100,100,84.81,100,62.5
Maldah,98.56,93.78,97.61,68.6,81.34,44.98
Murshidabad,96.36,99.59,100,94.31,87.85,36.84
Nadia,86.96,97.83,100,77.17,71.74,22.83
